ClaimSubmitted,DateOfIncident,Damages,District,Province,ClaimDetails,ClaimantsAssessment,AgreedPayment,DateClosed,Status
02 August 2010,3 Months ago,Property Damage,Nahr-e-Saraj,Helmand,Wheat & Trees caught fire,,"1,080.00",07 August 2010,S
02 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"4,000.00",07 August 2010,S
02 August 2010,2 Months ago,Crop Damage,Nahr-e-Saraj,Helmand,Compound & Wheat destroyed,,"1,120.00",04 September 2010,S
02 August 2010,26 July 2010,Property Damage,Nad-e-Ali,Helmand,Plough destroyed & cow killed,3200.00,0.00,,W
02 August 2010,1 Year Ago,Property Damage,Nad-e-Ali,Helmand,Cow killed,,,02 August 2010,D
02 August 2010,31 July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,700.00,07 August 2010,S
02 August 2010,31 July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,200.00",14 August 2010,S
02 August 2010,1 Week ago,Property Damage,Nahr-e-Saraj,Helmand,Compound destroyed by air strike.,,"1,750.00",14 August 2010,S
02 August 2010,31 July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"5,000.00",07 August 2010,S
02 August 2010,31 July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"3,500.00",07 August 2010,S
02 August 2010,6 Months Ago,Property Damage,Nahr-e-Saraj,Helmand,Land used to construct TRIDENT 2,,600.00,14 August 2010,S
02 August 2010,3 Days ago,Crop Damage,Nad-e-Ali,Helmand,Water melons destroyed during fighting,,375.00,14 August 2010,S
02 August 2010,1 Year Ago,Wounding ,Nad-e-Ali,Helmand,Shot by patrol. Arm paralysed.,,,22 August 2010,D
03 August 2010,July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,000.00",07 August 2010,S
03 August 2010,July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,600.00",07 August 2010,S
03 August 2010,27 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,Vehicle damaged to crops,,,13 August 2010,D
03 August 2010,29 July 2010,Wounding ,Nad-e-Ali,Helmand,Wife injured by mortars in compound,,"1,250.00",28 August 2010,S
03 August 2010,July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,500.00",07 August 2010,S
03 August 2010,July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,500.00",07 August 2010,S
03 August 2010,2 Months ago,Property Damage,Nahr-e-Saraj,Helmand,Vehicle damaged to crops,,,04 August 2010,D
03 August 2010,10 June 2010,Crop Damage,Marjah,Helmand,Crops died whilst claimant in detention,,,04 August 2010,D
03 August 2010,45 Days ago,Crop Damage,Nad-e-Ali,Helmand,3000 Kilos of harvested cotton burnt,,"2,333.00",14 August 2010,S
03 August 2010,July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Prevented from growing tall crops.,,"6,000.00",28 September 2010,S
03 August 2010,11 March 2010,Property Damage,Nad-e-Ali,Helmand,Trees destroyed,40000.00,"3,000.00",03 November 2010,S
03 August 2010,25 days ago,Property Damage,Nahr-e-Saraj,Helmand,Compound damaged,,"1,800.00",,W
03 August 2010,1 Month ago,Property Damage,Nahr-e-Saraj,Helmand,Compounds damaged during fighting,,"1,155.00",28 August 2010,S
03 August 2010,July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,400.00",07 August 2010,S
03 August 2010,July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,000.00",07 August 2010,S
03 August 2010,3 Months ago,Crop Damage,Nahr-e-Saraj,Helmand,Crops destroyed,,"7,500.00",21 August 2010,S
03 August 2010,July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"3,000.00",14 August 2010,S
04 August 2010,20 July 2010,Property Damage,Nahr-e-Saraj,Helmand,Compound Destroyed,,"8,150.00",04 September 2010,S
04 August 2010,01 June 2010,Property Damage,Nahr-e-Saraj,Helmand,Trees cut down for line of sight,,"8,400.00",25 September 2010,S
04 August 2010,02 August 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"3,000.00",09 October 2010,S
04 August 2010,1 Year Ago,Property Damage,Nad-e-Ali,Helmand,Compound damaged during build of PB,,470.00,09 October 2010,S
04 August 2010,31 July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,500.00",14 August 2010,S
04 August 2010,31 July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,500.00,14 August 2010,S
04 August 2010,31 July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,000.00",14 August 2010,S
04 August 2010,16 July 2010,Property Damage,Nahr-e-Saraj,Helmand,Cows killed,,315.00,14 August 2010,S
04 August 2010,31 July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"4,000.00",07 August 2010,S
04 August 2010,28 July 2010,Property Damage,Nahr-e-Saraj,Helmand,Fire damage to compound,,690.00,,W
04 August 2010,31 July 2010,Property Damage,Sangin,Helmand,Damage to compound,,403.00,28 September 2010,S
05 August 2010,16 Days ago,Fatality,Sangin,Helmand,Son & Nephew killed ,,,,Misc. Closed
07 August 2010,2 Years ago,Wounding ,Nahr-e-Saraj,Helmand,Wife and son injured,,"2,100.00",21 August 2010,S
07 August 2010,31 July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,000.00",07 August 2010,S
07 August 2010,30 July 2010,Property Damage,Nad-e-Ali,Helmand,Trees destroyed,,450.00,07 August 2010,S
08 August 2010,April 2010,Property Damage,Nad-e-Ali,Helmand,Culvert destroyed,,,20 August 2010,D
08 August 2010,June 2010,Property Damage,Nad-e-Ali,Helmand,Trees cut down,,930.00,12 October 2010,S
08 August 2010,05 July 2010,Property Damage,Nad-e-Ali,Helmand,Motorcycle destroyed,,250.00,21 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"5,000.00",14 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,800.00",14 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"8,600.00",11 September 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"4,000.00",14 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,500.00",14 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"3,000.00",14 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,500.00",14 August 2010,S
09 August 2010,6 Months Ago,Fatality,Nahr-e-Saraj,Helmand,Sons killed in mine strike,,,10 August 2010,D
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"4,000.00",14 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"4,000.00",14 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,900.00",14 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,700.00,14 August 2010,S
09 August 2010,31 May 2010,Property Damage,Nad-e-Ali,Helmand,Rooms detroyed by mortars,,425.00,21 August 2010,S
09 August 2010,3 Months ago,Property Damage,Nad-e-Ali,Helmand,Water pump destroyed,,,28 September 2010,D
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"4,500.00",14 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"4,000.00",14 August 2010,S
09 August 2010,30 July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Warthog damage,,75.00,14 August 2010,S
09 August 2010,2 Months ago,Property Damage,Nahr-e-Saraj,Helmand,Route TRIDENT build & Arcs,,"5,795.00",28 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,000.00",14 August 2010,S
09 August 2010,6 Days ago,Crop Damage,Nad-e-Ali,Helmand,Crops destroyed,,"2,380.00",14 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,000.00",21 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,700.00,14 August 2010,S
09 August 2010,18 March 2010,Property Damage,Nad-e-Ali,Helmand,Damages due to occupation,,53.00,02 October 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,900.00",14 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,,14 August 2010,D
09 August 2010,12 June 2010,Property Damage,Nahr-e-Saraj,Helmand,Compound mortared,,333.00,21 August 2010,S
09 August 2010,4 months ago,Fatality,Nad-e-Ali,Helmand,Child killed in crossfire,,"2,187.00",30 September 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,000.00",14 August 2010,S
09 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,000.00",14 August 2010,S
10 August 2010,8 Days ago,Fatality,Nad-e-Ali,Helmand,Daughter killed in cross fire.,,"1,250.00",11 September 2010,S
10 August 2010,2 Months ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"6,900.00",04 September 2010,S
10 August 2010,1.5 Months ago,Crop Damage,Nahr-e-Saraj,Helmand,Trees cut down,,"2,400.00",04 September 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,000.00",14 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,500.00",14 August 2010,S
10 August 2010,25 days ago,Crop Damage,Nahr-e-Saraj,Helmand,Animals killed,,765.00,21 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,500.00",14 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,800.00",14 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,500.00",14 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,500.00",14 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,800.00",14 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,400.00",14 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"3,600.00",14 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,000.00",14 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,500.00",21 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,000.00",14 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,500.00",14 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,800.00",14 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,000.00",14 August 2010,S
10 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"3,500.00",14 August 2010,S
11 August 2010, May 2010,Crop Damage,Nad-e-Ali,Helmand,Not allowed to grow any crops,,,14 October 2010,Misc. Closed
11 August 2010,10 days ago,Crop Damage,Nad-e-Ali,Helmand,Warthog damage,,720.00,14 August 2010,S
11 August 2010,30 July 2010,Crop Damage,Nad-e-Ali,Helmand,Crops destroyed,,375.00,21 August 2010,S
11 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"4,000.00",14 August 2010,S
12 August 2010,3 Months ago,Property Damage,Nad-e-Ali,Helmand,Compound damaged,,"1,450.00",30 September 2010,S
12 August 2010,1.5 Months ago,Property Damage,Nad-e-Ali,Helmand,Destruction of parts of compound and contents,,"1,500.00",09 October 2010,S
12 August 2010,01 July 2010,Crop Damage,Nad-e-Ali,Helmand,Crops destroyed,,"1,000.00",14 August 2010,S
12 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"3,000.00",21 August 2010,S
12 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,600.00",14 August 2010,S
12 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,500.00",14 August 2010,S
12 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,000.00",14 August 2010,S
12 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,800.00",14 August 2010,S
12 August 2010,2 Months ago,Property Damage,Nahr-e-Saraj,Helmand,Compound destroyed,,"2,450.00",25 September 2010,S
12 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,500.00",04 September 2010,S
12 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,800.00",14 August 2010,S
12 August 2010,1Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,000.00",28 August 2010,S
13 August 2010,09 August 2010,Crop Damage,Nahr-e-Saraj,Helmand,Land used to construct TRIDENT 2,,"2,100.00",04 September 2010,S
13 August 2010,03 July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Crops & Trees destroyed,,"3,200.00",21 August 2010,S
13 August 2010,09 July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Crops destroyed,,"3,000.00",21 August 2010,S
13 August 2010,20 June 2010,Wounding ,Nahr-e-Saraj,Helmand,Injury to Interpreter,,,13 August 2010,D
13 August 2010,22 June 2010,Property Damage,Nahr-e-Saraj,Helmand,Compound damage,,800.00,18 September 2010,S
13 August 2010,02 August 2010,Property Damage,Nahr-e-Saraj,Helmand,Land used to construct TRIDENT 2,,800.00,21 August 2010,S
13 August 2010,09 August 2010,Property Damage,Nahr-e-Saraj,Helmand,Fire damage to compound,,295.00,,W
13 August 2010,23 June 2010,Property Damage,Nahr-e-Saraj,Helmand,Tractor damage,10000.00,350.00,02 October 2010,S
13 August 2010,01 August 2010,Crop Damage,Nad-e-Ali,Helmand,Crops destroyed,6000.00,"1,750.00",04 September 2010,S
13 August 2010,01 August 2010,Crop Damage,Nad-e-Ali,Helmand,Crops destroyed,6000.00,"1,750.00",23 October 2010,S
14 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Crops cut down,,"1,000.00",28 August 2010,S
14 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,300.00,28 August 2010,S
14 August 2010,1 Month ago,Property Damage,Nahr-e-Saraj,Helmand,Land used to construct TRIDENT 2,,"5,900.00",28 August 2010,S
15 August 2010,15 August 2010,Property Damage,Nahr-e-Saraj,Helmand,Compound damaged,,"1,200.00",18 September 2010,S
16 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,500.00",21 August 2010,S
16 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,000.00",21 August 2010,S
16 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,700.00,21 August 2010,S
16 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,700.00,21 August 2010,S
16 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,600.00,21 August 2010,S
16 August 2010,1 Week ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,000.00",28 August 2010,S
16 August 2010,2 Week ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,700.00,28 August 2010,S
16 August 2010,23 Days ago,Property Damage,Sangin,Helmand,Compound destroyed,,"1,000.00",21 August 2010,S
16 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,600.00,21 August 2010,S
16 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,000.00",21 August 2010,S
16 August 2010,12 August 2010,Crop Damage,Nahr-e-Saraj,Helmand,Foot patrol damaged crops,,500.00,04 October 2010,S
16 August 2010,3 Days ago,Crop Damage,Nad-e-Ali,Helmand,Vehicle damage to crops,,,24 August 2010,D
16 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,500.00",21 August 2010,S
16 August 2010,12 Days ago,Property Damage,Nahr-e-Saraj,Helmand,Stored cotton destroyed,,"1,250.00",09 October 2010,S
16 August 2010,3 Days ago,Crop Damage,Nad-e-Ali,Helmand,Vehicle damage to crops,,,24 August 2010,D
16 August 2010,15 Days ago,Property Damage,Nahr-e-Saraj,Helmand,Fertilizer impounded & destroyed,,458.00,02 October 2010,S
16 August 2010,16 Months ago,Property Damage,Nad-e-Ali,Helmand,17 Compounds destroyed,,"3,026.00",11 October 2010,S
16 August 2010,08 August 2010,Wounding ,Sangin,Helmand,Claimant shot and wounded,,"8,241.00",18 August 2010,S
17 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"3,000.00",25 September 2010,S
17 August 2010,2 Months ago,Wounding ,Nahr-e-Saraj,Helmand,Family members wounded. ,,,26 August 2010,D
17 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,500.00,25 September 2010,S
17 August 2010,1 Year Ago,Property Damage,Nahr-e-Saraj,Helmand,Compound destroyed,,"2,470.00",26 February 2011,S
17 August 2010,1 Week ago,Crop Damage,Nad-e-Ali,Helmand,Crops destroyed,,"4,450.00",,W
17 August 2010,16 July 2010,Property Damage,Sangin,Helmand,Cows killed,,900.00,03 October 2010,S
17 August 2010,17 August 2010,Property Damage,Nad-e-Ali,Helmand,Trees destroyed,,"1,500.00",,W
17 August 2010,06 August 2010,Property Damage,Nad-e-Ali,Helmand,Compound destroyed,,400.00,09 October 2010,S
17 August 2010,1 Month ago,Property Damage,Nad-e-Ali,Helmand,Threshing machine destroyed,,"1,075.00",05 October 2010,S
18 August 2010,2 Months ago,Property Damage,Nad-e-Ali,Helmand,Compound destroyed,,"1,960.00",28 August 2010,S
18 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,600.00",21 August 2010,S
18 August 2010,79 Days ago,Crop Damage,Nad-e-Ali,Helmand,Crops Burnt,,,14 November 2010,D
18 August 2010,,Property Damage,Nahr-e-Saraj,Helmand,Compound damaged,,103.00,,W
18 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,500.00",21 August 2010,S
18 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,800.00,21 August 2010,S
18 August 2010,2 Week ago,Wounding ,Nad-e-Ali,Helmand,Brother wounded during fighting,,,25 August 2010,D
18 August 2010,12 July 2010,Property Damage,Nahr-e-Saraj,Helmand,Trees cut down,,"4,323.00",07 October 2010,S
18 August 2010,20 Days Ago,Property Damage,Nahr-e-Saraj,Helmand,Trees cut down,,"2,250.00",07 October 2010,S
18 August 2010,31 July 2010,Crop Damage,Nahr-e-Saraj,Helmand,Crops destroyed,,500.00,04 September 2010,S
18 August 2010,16 August 2010,Crop Damage,Nad-e-Ali,Helmand,Not allowed to grow tall crops,,"6,000.00",05 October 2010,S
18 August 2010,6 Days ago,Crop Damage,Nad-e-Ali,Helmand,Vehicle damage to crops,,,24 August 2010,D
19 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,000.00",21 August 2010,S
19 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,000.00",21 August 2010,S
19 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,400.00,21 August 2010,S
19 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"3,500.00",21 August 2010,S
19 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,000.00",21 August 2010,S
19 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,500.00",21 August 2010,S
19 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,000.00",21 August 2010,S
19 August 2010,20 Days Ago,Property Damage,Sangin,Helmand,Livestock killed; land destroyed,,623.00,09 October 2010,S
19 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,600.00,21 August 2010,S
19 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,500.00,21 August 2010,S
19 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,000.00",28 August 2010,S
19 August 2010,1 Month ago,Property Damage,Nad-e-Ali,Helmand,Road built across land,,"1,750.00",28 August 2010,S
19 August 2010,9 Days ago,Property Damage,Nahr-e-Saraj,Helmand,Compound damaged,,,22 August 2010,D
19 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,500.00,28 August 2010,S
19 August 2010,04 June 2010,Fatality,Nahr-e-Saraj,Helmand,Father killed,,,22 August 2010,D
20 August 2010,,Fatality,Nahr-e-Saraj,Helmand,"Son killed, second son wounded",,,31 October 2010,D
20 August 2010,,Wounding ,Nahr-e-Saraj,Helmand,Son wounded,,,31 October 2010,D
21 August 2010,1 Month ago,Property Damage,Nahr-e-Saraj,Helmand,Wall knocked down,,800.00,21 August 2010,S
21 August 2010,5 Day ago,Property Damage,Nahr-e-Saraj,Helmand,Compound destroyed,,,03 October 2010,D
21 August 2010,3 Weeks ago,Property Damage,Nahr-e-Saraj,Helmand,Wall & trees knocked down,,"8,000.00",25 September 2010,S
22 August 2010,32 Days ago,Property Damage,Sangin,Helmand,Shop fire,,"5,900.00",04 September 2010,S
22 August 2010,32 Days ago,Property Damage,Sangin,Helmand,Shop fire,,"1,650.00",04 September 2010,S
22 August 2010,December 2009,RTA,Kabul,Kabul,Traffic accident,,,10 October 2010,D
23 August 2010,7 Weeks ago,Crop Damage,Nahr-e-Saraj,Helmand,Crops Burnt,,612.50,25 September 2010,S
23 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,,23 August 2010,D
23 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,000.00",28 August 2010,S
23 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"3,000.00",28 August 2010,S
23 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,700.00,28 August 2010,S
23 August 2010,7 Weeks ago,Crop Damage,Nahr-e-Saraj,Helmand,Crops Burnt,,525.00,18 December 2010,S
23 August 2010,7 Weeks ago,Crop Damage,Nahr-e-Saraj,Helmand,Crops Burnt,,612.50,,W
23 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,500.00",28 August 2010,S
23 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,500.00",28 August 2010,S
23 August 2010,1 Month ago,Property Damage,Sangin,Helmand,Shop fire,,"3,100.00",04 September 2010,S
23 August 2010,2 Months ago,Crop Damage,Sangin,Helmand,Shop fire,,"2,541.00",20 October 2010,S
23 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"1,000.00",28 August 2010,S
23 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"3,000.00",28 August 2010,S
23 August 2010,2 Months ago,Property Damage,Nad-e-Ali,Helmand,Vehicle destroyed,,"7,733.00",01 November 2010,S
23 August 2010,22 August 2010,Property Damage,Nad-e-Ali,Helmand,Wheat Burnt,,"6,000.00",04 October 2010,S
23 August 2010,09 August 2010,Property Damage,Nad-e-Ali,Helmand,Compound damaged,,,03 October 2010,D
23 August 2010,2 Weeks ago,Property Damage,Nahr-e-Saraj,Helmand,Walls of 10 Compounds Knocked Down,,"3,200.00",25 September 2010,S
23 August 2010,6 Months Ago,Property Damage,Sangin,Helmand,Occupation of Compound,,,23 August 2010,D
23 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"4,000.00",04 September 2010,S
23 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,000.00",28 August 2010,S
23 August 2010,45 Days ago,Fatality,Nahr-e-Saraj,Helmand,Family member killed,,"2,750.00",25 September 2010,S
23 August 2010,12 August 2010,Crop Damage,Nad-e-Ali,Helmand,Crops destroyed,2000.00,"1,600.00",21 September 2010,S
23 August 2010,3 Months ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,"2,110.00",16 October 2010,S
23 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,500.00,28 August 2010,S
23 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,400.00,28 August 2010,S
23 August 2010,8 Months Ago,Property Damage,Nad-e-Ali,Helmand,Compound destroyed,,,26 August 2010,D
23 August 2010,2 Weeks ago,Fatality,Nad-e-Ali,Helmand,Brother killed during fighting,,,26 August 2010,D
23 August 2010,15 Days ago,Property Damage,Nad-e-Ali,Helmand,Threshing machine destroyed,1200.00,,24 August 2010,D
23 August 2010,10 days ago,Property Damage,Nahr-e-Saraj,Helmand,Compound damaged,,,23 August 2010,D
24 August 2010,1 Month ago,Crop Damage,Nahr-e-Saraj,Helmand,Not allowed to grow tall crops,,600.00,28 August 2010,S
24 August 2010,3 Days ago,Fatality,Nahr-e-Saraj,Helmand,Son killed,,,10 October 2010,D
